Id,Label,authid,TopRank,University,Country,pub_2023,pub_cit_2023,tot_citations,curYear_citations,prevYear_citations,tourism,tourism_marketing,tourism_management,tourism_economics,destination_marketing,Hotel_and_Tourism_management,tourist_behavior,tourism_impacts,sustainable_tourism
1,Colin Michael Hall,1,5,"University of Canterbury, NZ; Linnaeus U., Sweden; Lund U., Sweden; Oulu U., Finland; …",,47,650,104946,7737,11020,1,0,0,0,0,0,0,0,0
2,Rob Law,2,5,University of Macau,,53,97,65650,6349,8166,1,0,0,0,0,0,0,0,0
3,Buhalis,3,5,,,20,944,65541,6943,7592,1,0,0,0,0,0,0,0,0
4,Professor Dimitrios Buhalis,4,5,Director eTourismLab Bournemouth University,,19,788,65367,6918,7557,1,0,0,0,0,0,0,0,0
5,John L Crompton,5,5,"University Distinguished Professor, Texas A&M University",,1,0,54908,1744,2805,1,0,0,0,0,0,0,0,0
6,Stephen Smith,6,5,"Hospitality, Food, and Tourism Management, University of Guelph",,19,75,53410,3728,4477,1,0,0,1,0,0,0,0,0
7,Sharon,7,5,Universitas International Batam,,0,0,51940,571,1001,1,0,0,0,0,0,0,0,0
8,Greg Richards,8,5,"Professor of Leisure Studies, Tilburg University; Professor of Placemaking and Events …",,15,13,47198,2725,4301,1,0,0,0,0,0,0,0,0
9,Heesup Han,9,5,Professor at Sejong University,,64,213,43177,7450,8501,1,0,0,0,0,0,0,0,1
10,David L Hume,10,5,,,4,9,41229,1151,1930,1,0,0,0,0,0,0,0,0
11,Stefan Gössling,11,4,"Linnaeus University, Sweden",,11,75,38470,4599,6333,1,0,0,0,0,0,0,0,0
12,"SooCheong (Shawn) Jang, Ph.D.",12,4,"Professor, School of Hospitality and Tourism Management, Purdue University, USA",,12,28,36206,2854,3994,1,0,0,0,0,0,0,0,0
13,Dogan Gursoy,13,4,"School of Hospitality Business Management, Carson College of Business,Washington State …",,10,74,35854,4101,4790,1,1,0,0,0,0,0,0,0
14,Arch Woodside,14,4,Boston College,,9,8,35388,2194,2590,1,0,0,0,0,0,0,0,0
15,Daniel Scott,15,4,Research Chair at the University of Waterloo,,12,46,33286,3626,5232,1,0,0,0,0,0,0,0,0
16,Ulrike Gretzel,16,4,"Senior Fellow, University of Southern California",,7,2,32741,3007,4469,1,0,0,0,0,0,0,0,0
17,Chris Ryan,17,4,"University of Waikato, New Zealand",,5,15,32729,1521,2285,1,0,0,0,0,0,0,0,0
18,Daniel R Fesenmaier,18,4,Modul University Vienna,,2,1,31228,1483,2292,1,0,0,0,1,0,0,0,0
19,Alastair M Morrison,19,4,"Research Professor, University of Greenwich",,37,99,30131,2268,2909,1,0,0,0,0,0,0,0,0
20,Philip Pearce,20,4,"Foundation Professor of Tourism, James Cook University",,2,0,29096,1436,2204,1,0,0,0,0,0,0,0,0
21,Bob McKercher,21,3,University of Queensland,,17,41,28130,1911,2570,1,0,0,0,0,0,0,0,0
22,Carlos Flavián (ORCID 0000-0001-7118-9013),22,3,Full Professor of Marketing (University of Zaragoza; SPAIN),,12,727,26745,3945,3657,1,1,0,0,0,0,0,0,0
23,Abraham Pizam,23,3,"Professor of Hospitality & Tourism, University of Central Florida",,5,9,26269,1265,1636,1,0,1,0,0,0,0,0,0
24,Sara Dolnicar,24,3,University of Queensland,,36,65,25471,2539,3264,1,0,0,0,0,0,0,0,1
25,"Choong-Ki Lee, CK Lee, C.-K. Lee, CK Lee",25,3,"College of Hotel & Tourism Management, Kyung Hee University",,7,24,25262,2677,3269,1,0,0,0,0,0,0,0,0
26,Allan Williams,26,3,"Professor, University of Surrey",,2,1,25116,1213,1551,1,0,0,0,0,0,0,0,0
27,Professor John Hall,27,3,"Professor of Marketing, Deakin University, Melbourne, Australia",,3,7,24722,1191,1758,1,1,0,0,0,0,0,0,0
28,Haiyan Song,28,3,"Professor of Tourism, The Hong Kong Polytechnic University",,1,11,24659,2180,3108,1,0,0,1,0,0,0,0,0
29,Francesco Ricci,29,3,"Professor of Computer Science, Free University of Bozen-Bolzano",,11,8,24504,1510,2096,1,0,0,0,0,0,0,0,0
30,Dallen J. Timothy,30,3,"Professor of Community Resources and Development, Arizona State University",,15,9,24134,1615,2241,1,0,0,0,0,0,0,0,0
31,Metin Kozak,31,3,Kadir Has University,,18,35,24090,1730,2580,1,0,0,0,0,0,0,0,0
32,Stuart J Barnes,32,3,"Chair in Marketing, Business School, Newcastle University",,3,0,23122,1599,2244,1,1,0,0,0,0,0,0,0
33,Richard Sharpley,33,3,"Professor of Tourism and Development, University of Central Lancashire",,10,4,23073,1485,2091,1,0,0,0,0,0,0,0,0
34,Ralf Buckley,34,3,"International Chair in Ecotourism Research, Griffith University",,13,48,22446,1427,1943,1,0,0,0,0,0,0,0,0
35,Fevzi Okumus,35,3,"CFHLA Preeminent Chair Professor, University of Central Florida, Rosen College of …",,19,565,22019,3338,3470,1,0,0,0,0,0,0,0,0
36,Osman M. Karatepe,36,3,"Professor of Marketing, Faculty of Tourism, Eastern Mediterranean University",,20,87,21896,2350,3039,1,0,0,0,0,0,0,0,0
37,Susan Fainstein,37,3,Harvard University,,5,0,21040,739,1026,1,0,0,0,0,0,0,0,0
38,Dr. Alan Fyall,38,3,"Visit Orlando Endowed Chair of Tourism Marketing, Rosen College of Hospitality …",,11,26,20445,1103,1597,1,0,0,0,1,0,0,0,0
39,David Weaver,39,3,"Principal Research Fellow, Queensland University of Technology",,5,13,19819,1007,1403,1,0,0,0,0,0,0,0,1
40,Bing Pan,40,3,Penn State University,,4,4,19473,1316,1832,1,0,0,0,1,0,0,0,0
41,Tom Baum,41,3,"Professor, University of Strathclyde",,14,31,18913,1507,1835,1,0,0,0,0,0,0,0,0
42,Larry Dwyer,42,3,Professor of Tourism,,0,0,18793,782,1248,1,0,0,0,0,0,0,0,0
43,Seongseop (Sam) Kim,43,3,The Hong Kong Polytechnic University,,32,93,18633,2374,2831,1,0,0,0,0,0,0,0,0
44,Nigel Morgan,44,3,"School of Hospitality and Tourism Management, Surrey University",,6,6,18189,796,1199,1,0,0,0,0,0,0,0,0
45,Gianna Moscardo,45,3,"Professor, Business, James Cook University",,4,2,17991,975,1414,1,0,0,0,0,0,0,0,1
46,Beverley Sparks,46,3,"Professor, Griffith University",,1,12,17985,1407,1808,1,0,0,0,0,0,0,0,0
47,Professor Brent W. Ritchie,47,3,University of Queensland,,4,32,17084,2330,3009,1,0,0,0,0,0,0,0,0
48,Annette Pritchard,48,3,Leeds Beckett University,,2,2,16944,723,1063,1,0,1,0,0,0,0,0,0
49,Simon Anholt,49,3,"Honorary Professor, University of East Anglia",,0,0,16445,705,1064,0,0,0,0,1,0,0,0,0
50,Cathy Hsu,50,3,"School of Hotel and Tourism Management, Hong Kong PolyU",,7,20,16200,1290,1686,1,0,1,0,0,1,0,0,0
51,Susanne Becken,51,2,Griffith University,,6,21,16156,1473,1947,1,0,0,0,0,0,0,0,1
52,Stephen F Witt,52,2,"Emeritus Professor of Tourism Forecasting, University of Surrey",,0,0,15805,477,798,1,0,0,0,0,0,0,0,0
53,Felix T. Mavondo,53,2,"Monash University, Department of Marketing",,5,12,15665,1211,1569,1,0,0,0,0,0,0,0,0
54,Professor Noel Scott,54,2,University of the Sunshine Coast and Edith Cowan University,,10,42,15598,1761,2212,1,1,0,0,0,0,0,0,0
55,Irene Gil-Saura,55,2,"Professor of Marketing, University of Valencia, Spain",,24,24,15401,1215,1741,1,0,0,0,0,0,0,0,0
56,Heather Gibson,56,2,"Professor of Tourism, Hospitality & Event Management, University of Florida",,4,25,15351,989,1535,1,0,0,0,0,0,1,0,0
57,Kisang Ryu,57,2,Professor at College of Hospitality & Tourism Management at Sejong University,,4,22,15047,1746,2209,1,0,0,0,0,0,0,0,0
58,Yvette Reisinger,58,2,Gulf University for Science and Technology,,0,0,14988,963,1456,1,0,0,0,0,0,0,0,0
59,Douglas Pearce,59,2,Victoria University of Wellington,,0,0,14951,329,543,1,0,0,0,0,0,0,0,0
60,Simon Hudson,60,2,,,4,21,14929,950,1436,1,0,0,0,0,0,0,0,0
61,Gareth Shaw,61,2,University of Exeter Business School,,5,13,14753,620,815,1,0,0,0,0,0,0,0,0
62,Stephen McCool,62,2,The University of Montana,,2,10,14525,605,821,1,0,0,0,0,0,0,0,1
63,Tazim Jamal,63,2,"Professor, Texas A&M University",,3,2,14277,920,1353,1,0,0,0,0,0,0,0,0
64,Youcheng Wang,64,2,University of central Florida,,0,0,13823,678,1101,1,0,1,0,1,0,0,0,0
65,John Tribe,65,2,York St John University,,2,2,13604,629,895,1,0,0,0,0,0,0,0,0
66,Robin Nunkoo,66,2,"Professor, University of Mauritius",,14,125,13184,2202,2485,1,0,0,0,0,0,0,0,0
67,Catherine Pickering,67,2,Griffith University,,6,17,12755,1297,1655,1,0,0,0,0,0,0,0,1
68,Yasuhiro Yamanaka,68,2,Hokkaido University,,1,0,12467,545,773,1,0,0,0,0,0,0,0,1
69,Yooshik Yoon,69,2,Kyunghee University,,0,0,12465,667,980,1,0,0,0,1,0,0,0,0
70,Claire Wallace,70,2,University of Aberdeen,,0,0,12395,446,632,1,0,0,0,0,0,0,0,0
71,Iis Tussyadiah,71,2,University of Surrey,,7,20,12328,1921,2236,1,0,1,0,0,0,0,0,0
72,Jafar Jafari,72,2,"University of Wisconsin-Stout, USA",,5,1,12196,461,702,1,0,0,0,0,0,0,0,0
73,Sandra Loureiro,73,2,Full Professor Marketing,,44,118,12195,2535,2666,1,0,0,0,0,0,0,0,0
74,Joseph O'Leary,74,2,"Professor, Colorado State University",,0,0,12015,366,567,1,0,0,0,0,0,0,0,0
75,Ross Dowling,75,2,Edith Cowan University,,6,26,11967,914,1154,1,0,0,0,0,0,0,0,0
76,Rodolfo Baggio,76,2,"Bocconi University, Milan, Italy",,4,0,11760,1078,1834,1,0,0,0,0,0,0,0,0
77,Paul FJ Eagles,77,2,"Distinguished Professor Emeritus, University of Waterloo",,2,1,11643,436,630,1,0,0,0,0,0,0,0,0
78,Kathleen L. Andereck,78,2,"Professor of Sustainable Tourism, Arizona State University",,4,1,11501,713,926,1,0,0,0,0,0,0,0,1
79,Juan Gabriel Brida,79,2,"Full Professor of Economic Dynamics, Universidad de la República",,11,12,11471,811,1177,1,0,0,1,0,0,0,0,0
80,Haywantee Ramkissoon,80,2,"Professor (Full) Health, wellbeing, quality-of-life; Sustainable Tourism; Marketing; …",,27,229,11358,2066,2077,1,0,0,0,0,0,0,0,1
81,Paul Peeters,81,2,Breda University of applied sciences,,11,3,11329,753,1117,1,0,0,0,0,0,0,0,0
82,Sameer Hosany,82,2,"Professor of Marketing, Royal Holloway, University of London",,3,1,11192,1164,1511,1,0,0,0,1,0,0,0,0
83,Caroline Ashley,83,2,Ashley Insight,,0,0,11091,313,446,1,0,0,0,0,0,0,0,0
84,Brian EM King,84,2,"Professor & Head, Department of Hospitality, Hotel Management & Tourism, Texas A&M …",,13,21,10923,1148,1494,1,0,0,0,0,0,0,0,0
85,Deborah Kerstetter,85,2,"Professor Emerita, Penn State",,1,1,10726,563,747,1,0,0,0,0,0,0,0,0
86,Paulo Rita,86,2,"Full Professor of Marketing at NOVA IMS, Universidade Nova de Lisboa",,18,26,10605,1780,2076,1,1,0,0,0,0,0,0,0
87,Gang Li,87,2,University of Surrey,,6,34,10600,1181,1436,1,0,0,0,0,0,0,0,0
88,Jarkko Saarinen,88,2,Professor of Human Geography,,6,18,10563,910,1288,1,0,0,0,0,0,0,0,1
89,Cevat Tosun,89,2,"Eisenhower Chair & Professor of Tourism Studies, School of Business George Washington …",,3,8,10370,578,834,1,0,0,0,1,0,0,1,0
90,Susan A Moore,90,2,"School Veterinary and Life Sciences, Murdoch University",,0,0,10366,504,736,1,0,0,0,0,0,0,0,0
91,Professor Johan Bruwer,91,2,University of South Australia; The University of Adelaide,,3,13,10353,733,1253,1,0,0,0,0,0,0,0,0
92,Albert George Assaf,92,2,Isenberg School of Management,,7,23,10307,1457,1696,1,0,0,1,0,0,0,0,0
93,Xiang (Robert) Li,93,2,Temple University,,1,8,10291,1091,1457,1,1,0,0,0,0,0,0,0
94,Songshan (Sam) Huang,94,2,"Professor, School of Business and Law, Edith Cowan University",,25,92,9994,1635,1891,1,1,0,0,0,0,0,0,0
95,Luisa Andreu,95,2,University of Valencia,,2,0,9929,678,917,1,1,0,0,1,0,0,0,0
96,Jon Sundbo,96,2,Professor in business administration and innovation,,5,1,9903,341,511,1,0,0,0,0,0,0,0,0
97,Swaminathan. S,97,2,"SRINIVAS UNIVERSITY, DEAN INSTITUTE OF HOTEL MANAGEMENT & TOURISM",,1,4,9872,274,378,1,0,0,0,0,0,0,0,0
98,Daniel Balsalobre-Lorente,98,2,University of Castilla-La Mancha,,56,583,9823,4086,3136,1,0,0,0,0,0,0,0,0
99,Martina G. Gallarza,99,2,"Full Professor, University of Valencia",,7,0,9774,602,902,1,0,0,0,0,0,0,0,0
100,Chor Foon Tang,100,2,"Associate Professor (Economics), Centre for Policy Research, Universiti Sains Malaysia",,4,2,9718,947,1333,1,0,0,1,0,0,0,0,0
101,Dr Harold Goodwin,101,1,http://responsibletourismpartnership.org/,,0,0,9664,422,678,1,0,0,0,0,0,0,0,0
102,Brian Garrod,102,1,"Professor of Marketing, Swansea University",,8,15,9493,530,811,1,0,0,0,0,0,0,0,0
103,Richard Mitchell,103,1,"Professor, Te Pūkenga, Otago Polytechnic",,0,0,9451,392,736,1,0,0,0,0,0,0,0,0
104,Melanie Smith,104,1,"Budapest Metropolitan University and University of Tartu, Pärnu College",,8,9,9396,829,1081,1,0,0,0,0,0,0,0,0
105,Sheng-Hshiung Tsaur,105,1,"Department of Marketing and Tourism Management,National Chiayi University",,14,32,9318,822,1030,1,0,0,0,0,0,0,0,0
106,Jamie Murphy,106,1,University of Eastern Finland,,2,0,9278,553,765,1,0,0,0,0,0,0,0,0
107,Scott Cohen,107,1,"Professor of Tourism and Transport, University of Surrey",,5,6,9269,947,1397,1,0,0,0,0,0,0,0,0
108,Muhammad Haroon Shoukat,108,1,COMSATS University Islamabad,,55,36,9203,1895,2391,1,0,1,0,0,0,0,0,0
109,Graham Miller,109,1,"Nova School of Business and Economics, Lisbon, Portugal",,5,75,9136,762,997,1,0,1,0,0,0,0,0,1
110,Andrew Lepp,110,1,Kent State University,,10,15,9099,879,1198,1,0,0,0,0,0,0,0,0
111,Jin-Li Hu (胡均立),111,1,"Institute of Business and Management, National Yang Ming Chiao Tung University",,14,7,9032,654,822,1,0,0,1,0,0,0,0,0
112,Adrian Franklin,112,1,University of South Australia,,1,0,8957,367,545,1,0,0,0,0,0,0,0,0
113,Lino Pascal Briguglio,113,1,"Professor of Economics, University of Malta",,5,1,8919,400,644,1,0,0,0,0,0,0,0,0
114,Professor Timothy Jung,114,1,"Chair Professor of XR, Director of AR & VR Hub, Manchester Metropolitan University",,15,21,8785,1914,2019,1,0,0,0,0,0,0,0,0
115,Peter O'CONNOR,115,1,University of South Australia,,8,66,8773,632,773,1,0,0,0,0,0,0,0,0
116,Miguel Angel Moliner Tena,116,1,"Profesor de Marketing, Universitat Jaume I de Castellón",,9,17,8584,693,864,1,0,0,0,0,0,0,0,0
117,Patrick Long,117,1,"Director, center for sustainable tourism",,0,0,8511,298,413,1,0,0,0,0,0,0,0,0
118,Stanislav Ivanov,118,1,"Varna University of Management, Bulgaria",,19,130,8489,1509,1763,1,0,0,0,0,0,0,0,0
119,elisabeth kastenholz,119,1,Universidade de Aveiro- DEGEI,,21,64,8476,958,1219,1,0,0,0,1,0,0,0,0
120,Kevin Kam Fung So,120,1,"William S. Spears Chair in Business, Spears School of Business, Oklahoma State University",,10,18,8431,1710,1763,1,1,0,0,0,0,0,0,0
121,Pierre Benckendorff,121,1,"Professor, The University of Queensland",,8,9,8386,942,1101,1,0,0,0,0,0,0,0,0
122,S. Mostafa Rasoolimanesh,122,1,"Professor of Tourism, Director of Sustainable Tourism Impact Lab and CRiT, Taylor's …",,21,449,8382,2405,2256,1,0,0,0,0,0,0,1,1
123,Scott McCabe,123,1,"Professor in Marketing, Birmingham Business School",,11,31,8279,1033,1222,1,0,0,0,0,0,0,0,0
124,Peter Lugosi,124,1,"Professor of Culture and Organisation, Oxford Brookes University",,10,18,8257,815,1061,1,0,0,0,0,0,0,0,0
125,Svetlana Stepchenkova,125,1,University of Florida,,5,15,8134,852,1016,1,0,0,0,0,0,0,0,0
126,Sanjay K. Nepal,126,1,University of Waterloo,,2,19,8124,596,853,1,0,0,0,0,0,0,0,0
127,Ian Yeoman,127,1,NHL Stenden University of Applied Sciences,,9,1,8097,623,1022,1,0,0,0,0,0,0,0,0
128,Kyle Maurice Woosnam,128,1,Professor of Sustainable Tourism Planning and Management,,30,138,8084,1921,1995,1,0,0,0,0,0,0,0,1
129,Harmen Oppewal,129,1,"Professor of Marketing, Monash Business School, Monash University",,3,8,8081,502,570,1,0,0,0,0,0,0,0,0
130,Lorenzo Cantoni,130,1,"USI - Università della Svizzera italiana (Lugano, Switzerland)",,11,6,8065,540,969,1,0,0,0,0,0,0,0,0
131,George Filis,131,1,"Assist. Prof in International Economics, University of Patras",,6,50,8032,1279,1461,1,0,0,1,0,0,0,0,0
132,Billy Bai,132,1,University of Nevada Las Vegas,,10,40,7982,926,1023,1,1,0,0,1,0,0,0,0
133,Tomas Lopez-Guzman (ORCID: 0000-0001-8800-8223),133,1,University of Córdoba (Spain) (ROR 05yc77b46),,11,0,7845,686,1086,1,0,0,0,0,0,0,0,0
134,Kevin Fox Gotham,134,1,"Professor of Sociology, Tulane University",,1,0,7777,440,604,1,0,0,0,0,0,0,0,0
135,Dan Wang,135,1,The Hong Kong Polytechnic University,,8,0,7691,913,1186,1,0,0,0,0,0,0,0,0
136,Lisa Ruhanen,136,1,"Professor, The University of Queensland",,5,44,7667,871,1106,1,0,0,0,0,0,0,0,0
137,Peter Björk,137,1,"Professor in Marketing, HANKEN School of Economics",,10,51,7636,851,1059,1,0,0,0,0,0,0,0,0
138,yaniv poria,138,1,Associate Professor of Heritage Tourism,,2,1,7559,473,669,1,0,0,0,0,0,0,0,0
139,Michel Picard,139,1,CASE - CNRS,,1,0,7441,188,290,1,0,0,0,0,0,0,0,0
140,Yang Yang,140,1,"Associate Professor of Tourism and Hospitality Management, Temple University",,16,28,7416,1358,1634,1,0,0,0,0,0,0,0,0
141,Sunil Kumar Arya,141,1,"Sr. Lecturer of Food Production, AIHM Chandigarh, India",,1,2,7391,462,558,1,0,0,0,0,0,0,0,0
142,Mark A. Bonn,142,1,"Professor of Hospitality and Tourism Management, Florida State University",,4,8,7381,1030,1201,1,0,0,0,1,0,0,0,0
143,Sebastian Zenker,143,1,"Professor, PhD, Copenhagen Business School",,2,0,7362,771,1132,1,0,0,0,0,0,0,0,0
144,Alyson Brown,144,1,Edge Hill University,,1,0,7345,1088,1721,1,0,0,0,0,0,0,0,0
145,Salvador Anton Clavé,145,1,Universitat Rovira i Virgili,,6,7,7291,404,562,1,0,0,0,0,0,0,0,0
146,Marina Novelli,146,1,University of Nottingham,,3,2,7251,714,1031,1,0,0,0,0,0,0,0,0
147,Gyan Nyaupane,147,1,"Professor, Arizona State University",,3,10,7249,664,966,1,0,0,0,0,0,0,0,1
148,Maxwell Hsu,148,1,Univ. of Wisconsin-Whitewater,,0,0,7111,580,734,1,1,0,0,0,0,0,0,0
149,Tanja Mihalic,149,1,"University of Ljubljana, Faculty of Economics",,2,1,7108,499,748,1,0,1,1,0,0,0,0,0
150,Giacomo Del Chiappa,150,1,Associate Professor of Marketing - Co-Editor-in-Chief of the European Journal of Tourism …,,6,54,7068,1028,1385,1,0,0,0,0,0,0,0,0
151,Lynle Mendoza,151,1,College Instructor,,4,29,6982,644,874,1,0,0,0,0,0,0,0,0
152,Frederic Dimanche,152,1,"Ted Rogers School of Hospitality and Tourism Management, Ryerson University",,8,29,6956,376,529,1,0,0,0,0,0,0,0,0
153,MARK P. PRITCHARD,153,1,Central Washington University,,0,0,6886,188,361,1,0,0,0,0,0,0,0,0
154,Dwi Suhartanto,154,1,"Politeknik Negeri Bandung, Indonesia",,15,17,6870,1192,1260,1,1,0,0,0,0,0,0,0
155,"Hwansuk Chris Choi , HSC Choi, HS Choi, HS Chris Choi, HC Choi, H Choi, C Choi",155,1,"Professor of School of Hospitality and Tourism Management, University of Guelph",,4,0,6861,637,838,1,0,0,0,0,0,0,0,0
156,Martin Thomas Falk,156,1,"Professor, University of South Eastern Norway, Department of Business and IT",,8,17,6782,622,824,1,0,0,0,0,0,0,0,0
157,Raffaele Paci,157,1,"Professor of Economics, University of Cagliari, CRENoS",,2,29,6740,317,397,1,0,0,0,0,0,0,0,0
158,Vesna Žabkar,158,1,"Full professor of marketing, University of Ljubljana, School of Economics and Business",,3,19,6727,692,836,1,0,0,0,0,0,0,0,0
159,Sangwon Park,159,1,Kyung Hee University,,13,16,6709,1130,1351,1,0,0,0,0,0,0,0,0
160,Irena Ateljevic,160,1,Institute for Tourism,,0,0,6677,355,459,1,0,0,0,0,0,0,0,0
161,Penny M Simpson,161,1,"Professor of Marketing, The University of Texas Rio Grande Valley",,0,0,6675,304,405,1,0,0,0,0,0,0,0,0
162,Carla Ruiz Mafé,162,1,Catedrática de marketing. Universidad de Valencia,,7,20,6623,683,825,1,1,0,0,0,0,0,0,0
163,"Yoel Mansfeld, PhD",163,1,"Professor in Tourism Planning and Development, University of Haifa",,0,0,6592,316,479,1,0,0,0,0,0,0,0,1
164,PAUL LYNCH,164,1,"PROFESSOR OF CRITICAL HOSPITALITY AND TOURISM STUDIES, EDINBURGH …",,0,0,6592,281,488,1,0,0,0,0,0,0,0,0
165,Dieter K. Müller,165,1,"Professor of Social and Economic Geography, Umeå University, Department of Geography …",,3,1,6576,336,534,1,0,0,0,0,0,0,0,0
166,Tsung Hung LEE (李宗鴻),166,1,National Yunlin University of Science and Technology; 雲林科技大學,,8,46,6559,940,1096,1,0,0,0,0,0,0,0,1
167,Kelly MacKay,167,1,Ted Rogers School of Management Ryerson University,,0,0,6559,224,332,1,0,0,0,0,0,0,0,0
168,Dr Erik Braun,168,1,Copenhagen Business School,,1,0,6555,472,657,1,0,1,0,0,0,0,0,0
169,RI MAWBY,169,1,"Visiting Professor of Rural Criminology, Harper Adams University",,7,41,6555,298,383,1,0,0,0,0,0,0,0,0
170,Silvia Sanz Blas,170,1,"Profesora Titular de Marketing, Universidad de Valencia",,4,8,6503,508,735,1,1,0,0,0,0,0,0,0
171,Manjit Singh,171,1,"University School of Applied Management, Punjabi University, Patiala",,0,0,6475,418,569,1,0,0,0,0,0,0,0,0
172,Kreg Lindberg,172,1,Oregon State University,,3,17,6463,235,335,1,0,0,0,0,0,0,0,0
173,Juan Ignacio Pulido-Fernández,173,1,Full Professor. Laboratory of Analysis and Innovation in Tourism (LAInnTUR). University of …,,14,14,6377,573,817,1,0,0,1,0,0,0,0,1
174,Marion Joppe,174,1,"University of Guelph, School of Hospitality, Food and Tourism Management",,1,9,6345,507,698,0,0,0,0,1,0,0,0,0
175,Boopen SEETANAH,175,1,"Professor, University of Mauritius",,13,40,6253,649,899,1,0,0,1,0,0,0,0,0
176,William C. Norman,176,1,Clemson University,,0,0,6196,450,635,1,0,0,0,0,0,0,1,0
177,Ming-Hsiang Chen 陳明祥,177,1,"School of Hospitality Business Management, Carson College of Business, Washington State …",,3,1,6166,833,1206,1,0,0,1,0,0,0,0,0
178,Bas Amelung,178,1,"Assistant Professor Environmental Systems Analysis, Wageningen University",,2,0,6122,368,560,1,0,0,0,0,0,0,0,0
179,Ender Demir,179,1,Reykjavik University,,12,54,6107,1829,1851,1,0,0,1,0,0,0,0,0
180,Deborah Edwards,180,1,"Adjunct Associate Professor, University of Technology Sydney",,0,0,6023,398,666,1,0,0,0,0,0,0,0,0
181,Yu-Fai Leung,181,1,North Carolina State University,,4,9,6021,580,692,1,0,0,0,0,0,0,0,1
182,Adam Blake,182,1,"Professor of Economics, Bournemouth University",,1,1,5955,351,516,1,0,0,0,0,0,0,0,0
183,May Chiun Lo,183,1,"Faculty of Economics and Business, Universiti Malaysia Sarawak",,6,1,5928,489,777,1,0,0,0,0,0,0,0,1
184,Jackie Dawson,184,1,"Canada Research Chair in Human and Policy Dimensions of Climate Change, University of …",,7,37,5854,659,769,1,0,0,0,0,0,0,0,0
185,Lisa OMalley,185,1,"Professor of Marketing, Kemmy Business School, University of Limerick",,4,35,5854,381,481,1,0,0,0,0,0,0,0,0
186,Rachel Dodds,186,1,"Professor, Toronto Metropolitan University (formerly Ryerson University)",,4,0,5811,684,877,1,0,0,0,0,0,0,0,1
187,Jaume Rossello Nadal,187,1,"Professor of Applied Economics, Universitat de les Illes Balears (SPAIN)",,4,2,5786,596,781,1,0,0,1,0,0,0,0,0
188,F. Xavier Medina,188,1,Universitat Oberta de Catalunta,,14,10,5784,588,774,1,0,0,0,0,0,0,0,0
189,Alain Decrop,189,1,University of Namur,,1,0,5782,350,496,1,0,0,0,0,0,0,0,0
190,Regina F. Bendix,190,1,Professor of Cultural Anthropology/European Ethnology,,1,0,5763,276,357,1,0,0,0,0,0,0,0,0
191,Justin John Lennon,191,1,Professor of Tourism,,4,1,5757,304,517,1,0,0,0,0,0,0,0,0
192,Tim Coles,192,1,Professor of Management,,2,0,5756,362,469,1,0,0,0,0,0,0,0,0
193,David G Simmons,193,1,"Professor of tourism, Lincoln University",,3,2,5722,228,346,1,0,0,0,0,0,0,0,0
194,David G Simmons,194,1,Lincoln University,,3,2,5683,228,345,1,0,0,0,0,0,0,0,0
195,Professor Andreas Papatheodorou,195,1,"University of the Aegean, Greece",,4,1,5662,376,451,1,0,0,0,0,0,0,0,0
196,Abel Duarte Alonso,196,1,"RMIT International University Vietnam, School of Business and Management",,16,16,5638,654,900,1,0,0,0,0,0,0,0,0
197,Alfonso Vargas-Sánchez (orcid 0000-0003-0588-8654),197,1,"University of Huelva, Spain (retired)",,6,22,5614,435,654,1,0,1,0,0,0,0,0,0
198,Kenneth R Lord,198,1,Eastern Michigan University,,3,3,5607,196,285,1,0,0,0,0,0,0,0,0
199,David W. Marcouiller,199,1,University of Wisconsin - Madison,,2,0,5586,229,316,1,0,0,1,0,0,0,0,0
200,Carla Barbieri,200,1,"Professor, Parks, Recreation & Tourism Management, North Carolina State University",,6,5,5531,541,885,1,0,0,0,0,0,0,0,1
201,Tzung-Cheng Huan,201,1,National Chiayi University,,8,40,5515,890,1012,1,1,0,0,0,0,0,0,0
202,Mary Ann Davila Rodriguez,202,1,"Adjunct Professor of Tourism and Hotel Administration, Universidad del Sagrado Corazon",,2,4,5498,304,432,1,1,0,0,1,0,0,0,1
203,Cem IŞIK - Σ,203,1,| Professor of Economics | Anadolu University | Türkiye (🇹🇷) | Top 2% World Scientists |,,32,291,5432,1826,1509,1,0,0,1,0,0,0,0,0
204,Xinyuan Zhao,204,1,"Professor, Macau University of Science and Technology",,3,10,5413,569,723,1,0,0,0,0,0,0,0,0
205,Paris Tsartas,205,1,"Tourism Development Professor, Harokopio University",,0,0,5402,195,326,1,0,0,0,0,0,0,0,1
206,Mike Robinson,206,1,Professor of Cultural Heritage University of Birmingham,,0,0,5382,216,348,1,0,0,0,0,0,0,0,0
207,Paulo Duarte,207,1,"Research Center in Business Sciences (NECE), University of Beira Interior",,9,23,5374,854,1068,1,0,0,0,0,0,0,0,0
208,Jost Krippendorf,208,1,University of Bern,,0,0,5366,116,201,1,0,0,0,0,0,0,0,0
209,Charles Arcodia,209,1,"Professor, Tourism, Sport & Hotel Management, Griffith University, Australia",,5,0,5361,613,817,1,0,1,0,0,0,0,0,0
210,I Gde Pitana,210,1,"Professor in Tourism, Udayana University",,2,0,5358,475,715,1,1,0,0,0,0,0,0,0
211,Dimitri Ioannides,211,1,Mid Sweden University,,3,4,5326,416,679,1,0,0,0,0,0,0,0,0
